event,lon,lat,id,geo,datetime
12049684176,-79.814,68.425,128150,POINT (-79.81399999999999 68.425),2014-08-22 07:39:00.000
12049683852,-79.82,62.483,128148,POINT (-79.81999999999999 62.483),2014-04-24 19:34:00.000
12049684198,-79.82,68.809,128150,POINT (-79.81999999999999 68.809),2014-08-26 14:02:00.000
12049657947,-79.826,64.738,128151,POINT (-79.82599999999999 64.738),2013-11-25 13:48:00.000
12049680479,-79.83,64.215,128145,POINT (-79.83 64.215),2014-06-25 09:30:00.000
12049652802,-79.833,64.141,128145,POINT (-79.833 64.14100000000001),2013-11-15 15:48:00.000
12049683977,-79.835,66.683,128150,POINT (-79.83499999999999 66.68300000000001),2014-07-23 17:14:00.000
12049684948,-79.837,63.486,128151,POINT (-79.837 63.486),2014-05-10 17:15:00.000
12049685174,-79.841,69.069,128151,POINT (-79.84099999999999 69.069),2014-07-10 09:14:00.000
12049679456,-79.842,67.588,114508,POINT (-79.842 67.58799999999999),2014-08-11 12:11:00.000
12049684815,-79.843,62.734,128150,POINT (-79.843 62.734),2015-06-18 12:03:00.000
12049679467,-79.847,67.8,114508,POINT (-79.84699999999999 67.8),2014-08-12 01:36:00.000
12049661521,-79.847,64.129,128152,POINT (-79.84699999999999 64.129),2014-06-23 10:01:00.000
12049654775,-79.848,67.734,128150,POINT (-79.848 67.73399999999999),2013-08-19 13:53:00.000
12049684961,-79.85,63.426,128151,POINT (-79.84999999999999 63.426),2014-05-18 21:53:00.000
12049679552,-79.854,68.282,114508,POINT (-79.854 68.282),2014-08-17 13:24:00.000
12049681440,-79.857,69.082,128146,POINT (-79.857 69.08199999999999),2013-09-09 11:47:00.000
12049660253,-79.865,64.213,128152,POINT (-79.86499999999999 64.21299999999999),2013-11-15 13:50:00.000
12049654743,-79.875,67.731,128150,POINT (-79.875 67.73099999999999),2013-08-17 21:05:00.000
12049682596,-79.88,69.164,128146,POINT (-79.88 69.164),2014-09-28 14:05:00.000
12049684116,-79.882,68.043,128150,POINT (-79.88200000000001 68.04300000000001),2014-08-15 23:09:00.000
12049654899,-79.886,68.855,128150,POINT (-79.886 68.855),2013-08-25 11:08:00.000
12049681844,-79.889,66.368,128146,POINT (-79.889 66.36799999999999),2013-10-27 17:46:00.000
12049686545,-79.892,62.612,128151,POINT (-79.892 62.612),2015-06-19 03:19:00.000
12049654992,-79.893,68.933,128150,POINT (-79.893 68.93300000000001),2013-09-01 23:50:00.000
12049686557,-79.9,62.596,128151,POINT (-79.90000000000001 62.596),2015-06-19 15:27:00.000
12049680471,-79.9,64.421,128145,POINT (-79.90000000000001 64.42100000000001),2014-06-22 15:17:00.000
12049681459,-79.901,69.094,128146,POINT (-79.901 69.09399999999999),2013-09-11 17:16:00.000
12049660191,-79.904,68.02,128152,POINT (-79.904 68.02),2013-11-03 15:54:00.000
12049680455,-79.906,64.892,128145,POINT (-79.90600000000001 64.892),2014-06-17 15:10:00.000
12049680474,-79.908,64.324,128145,POINT (-79.908 64.324),2014-06-24 01:51:00.000
12049654678,-79.908,67.73,128150,POINT (-79.908 67.73),2013-08-14 23:24:00.000
12049654951,-79.911,68.798,128150,POINT (-79.911 68.798),2013-08-29 15:31:00.000
12049680476,-79.912,64.221,128145,POINT (-79.91200000000001 64.221),2014-06-24 19:50:00.000
12049684967,-79.926,63.436,128151,POINT (-79.926 63.436),2014-05-20 19:40:00.000
12049654708,-79.926,67.763,128150,POINT (-79.926 67.76300000000001),2013-08-16 01:05:00.000
12049686711,-79.929,63.936,128151,POINT (-79.929 63.936),2015-06-29 07:23:00.000
12049653445,-79.94,68.065,128148,POINT (-79.94 68.065),2013-07-14 07:28:00.000
12049654928,-79.94,69.378,128150,POINT (-79.94 69.378),2013-08-27 13:14:00.000
12049654502,-79.942,66.888,128150,POINT (-79.94199999999999 66.88800000000001),2013-08-05 21:50:00.000
12049683946,-79.946,67.714,128150,POINT (-79.946 67.714),2014-07-18 19:37:00.000
12049657641,-79.949,69.094,128151,POINT (-79.949 69.09399999999999),2013-10-06 11:03:00.000
12049683904,-79.953,68.859,128150,POINT (-79.953 68.85899999999999),2014-07-05 17:25:00.000
12049655335,-79.953,68.408,128150,POINT (-79.953 68.408),2013-10-08 01:52:00.000
