event,id,lon,lat,datetime,geo
7980534972,LA11,15.6182251,-18.79080404,2009-11-30 13:20:00.000,POINT (15.6182251 -18.79080404)
7980534975,LA11,15.71363627,-18.7492513,2009-11-30 19:00:00.000,POINT (15.71363627 -18.7492513)
7980534986,LA11,15.61853231,-18.78658244,2009-12-01 22:20:00.000,POINT (15.61853231 -18.78658244)
7980534988,LA11,15.74150187,-18.75472209,2009-12-02 11:01:00.000,POINT (15.74150187 -18.75472209)
7980534996,LA11,15.61877848,-18.78612671,2009-12-03 00:41:00.000,POINT (15.61877848 -18.78612671)
7980534998,LA11,15.72896525,-18.74736735,2009-12-03 08:40:00.000,POINT (15.72896525 -18.74736735)
7980535010,LA11,15.58031616,-18.77793579,2009-12-04 16:40:00.000,POINT (15.58031616 -18.77793579)
7980535030,LA11,15.55763346,-18.87616781,2009-12-06 04:20:00.000,POINT (15.55763346 -18.87616781)
7980535036,LA11,15.5035848,-18.97671305,2009-12-06 15:20:00.000,POINT (15.5035848 -18.97671305)
7980535042,LA11,15.47199097,-18.87562459,2009-12-07 06:00:00.000,POINT (15.47199097 -18.87562459)
7980535078,LA11,15.42934977,-18.76970215,2009-12-10 06:01:00.000,POINT (15.42934977 -18.76970215)
7980535085,LA11,15.59941813,-18.78209432,2009-12-11 00:00:00.000,POINT (15.59941813 -18.78209432)
7980535092,LA11,15.69900614,-18.74627279,2009-12-11 14:01:00.000,POINT (15.69900614 -18.74627279)
7980535123,LA11,15.81405334,-18.64295247,2009-12-23 13:21:00.000,POINT (15.81405334 -18.64295247)
7980535150,LA11,15.91464233,-18.6355896,2009-12-27 07:20:00.000,POINT (15.91464233 -18.6355896)
7980535158,LA11,15.79305623,-18.67729289,2009-12-28 12:20:00.000,POINT (15.79305623 -18.67729289)
7980535162,LA11,15.64075012,-18.77524007,2009-12-28 22:00:00.000,POINT (15.64075012 -18.77524007)
7980535201,LA11,15.74896851,-18.73907267,2010-01-01 17:21:00.000,POINT (15.74896851 -18.73907267)
7980535205,LA11,15.85116475,-18.72542521,2010-01-02 05:40:00.000,POINT (15.85116475 -18.72542521)
7980535224,LA11,15.85733541,-18.62206421,2010-01-03 14:21:00.000,POINT (15.85733541 -18.62206421)
7980535293,LA11,15.93534749,-18.68510335,2010-01-09 19:00:00.000,POINT (15.93534749 -18.68510335)
7980535398,LA11,15.81038717,-18.73167725,2010-01-19 08:41:00.000,POINT (15.81038717 -18.73167725)
7980535427,LA11,15.71731262,-18.67855835,2010-01-21 13:41:00.000,POINT (15.71731262 -18.67855835)
7980535528,LA11,15.83256734,-18.66972249,2010-01-30 23:41:00.000,POINT (15.83256734 -18.66972249)
7980535534,LA11,15.90692647,-18.57519328,2010-01-31 14:40:00.000,POINT (15.90692647 -18.57519328)
7980535538,LA11,15.77982178,-18.54614665,2010-01-31 22:01:00.000,POINT (15.77982178 -18.54614665)
7980535543,LA11,15.66601664,-18.60453288,2010-02-01 10:41:00.000,POINT (15.66601664 -18.60453288)
7980535546,LA11,15.63799032,-18.71551514,2010-02-01 18:41:00.000,POINT (15.63799032 -18.71551514)
7980535550,LA11,15.5062795,-18.70385335,2010-02-02 16:41:00.000,POINT (15.5062795 -18.70385335)
7980535556,LA11,15.41239726,-18.77089233,2010-02-02 23:21:00.000,POINT (15.41239726 -18.77089233)
7980535561,LA11,15.31757609,-18.80551554,2010-02-03 07:40:00.000,POINT (15.31757609 -18.80551554)
7980535642,LA11,15.41726074,-18.79443156,2010-02-09 15:41:00.000,POINT (15.41726074 -18.79443156)
7980535659,LA11,15.54388529,-18.79053345,2010-02-11 16:01:00.000,POINT (15.54388529 -18.79053345)
7980535749,LA11,15.64133504,-18.73578084,2010-02-20 01:00:00.000,POINT (15.64133504 -18.73578084)
7980535784,LA11,15.79228617,-18.76115316,2010-02-22 15:40:00.000,POINT (15.79228617 -18.76115316)
7980535793,LA11,15.70972697,-18.69086711,2010-02-23 18:41:00.000,POINT (15.70972697 -18.69086711)
7980535935,LA11,15.80812785,-18.67137248,2010-03-09 12:20:00.000,POINT (15.80812785 -18.67137248)
7980536028,LA11,15.70767314,-18.66411743,2010-03-18 12:21:00.000,POINT (15.70767314 -18.66411743)
